id_libro,Unidad,Titulo,Autor,Clasificacion
51349,1,CONTROL ESTADiSTICO DE CALIDAD Y SEIS SIGMA,"GUTIERREZ PULIDO, HUMBERTO",TS 156 G983
51348,1,FISICOQUiMICA,"LEVINE, IRA N.",QD 453.2 L665
51347,1,FISICOQUiMICA,"LEVINE, IRA N.",QD 453.2 L665
51346,1,FISICOQUiMICA,"LEVINE, IRA N.",QD 453.2 L665
53045,1,DESARROLLO DE PROYECTOS CON PROGRAMACION ORIENTADA,"SMITH, JO ANN",QA 76.73C153 S642
51354,1,"FUNDAMENTOS DE PROGRAMACION : ALGORITMOS, ESTRUCTU",JOYANES AGUILAR LUIS,QA 76.6 J88
53173,1,MAQUINAS ELECTRICAS,"CHAPMAN, STEPHEN",TK 2181 C466
53175,1,ADMINISTRACION DE PERSONAL,"DESSLER, GARY",HF 5549 D475
53181,1,PRINCIPIOS DE CONTABILIDAD,"ROMERO LOPEZ, JAVIER",HF 5651 R763
53180,1,PRINCIPIOS DE CONTABILIDAD,"ROMERO LOPEZ, JAVIER",HF 5651 R763
51258,1,"FUNDAMENTOS DE PROGRAMACION : ALGORITMOS, ESTRUCTU",JOYANES AGUILAR LUIS,QA 76.6 J88
53179,1,QUIMICA ANALITICA,"SKOOG, DOUGLAS A.",QD 72 S628
53178,1,SOCIOLOGiA,"VALERIANO GALEANA, EDUARDO",HM 51 V163
